"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17182-9534","PG","Aaron","","Brooks","12.243749618530273","16","3600","IND@LAC","IND","LAC","","","",""
"17182-12423","C","Omer","","Asik","12.875","20","3600","NO@OKC","NO","OKC","","","",""
"17182-9671","PF","Marreese","","Speights","16.33809552873884","21","3600","IND@LAC","LAC","IND","","","",""
"17182-59358","PF","Domantas","","Sabonis","13.675","20","3600","NO@OKC","OKC","NO","","","",""
"17182-15592","PG","Austin","","Rivers","13.74761962890625","21","3600","IND@LAC","LAC","IND","","","",""
"17182-9731","C","Kosta","","Koufos","13.710526315789474","19","3500","SAC@NY","SAC","NY","","","",""
"17182-40206","SG","Alex","","Abrines","5.96875","16","3500","NO@OKC","OKC","NO","","","",""
"17182-23823","PF","Willie","","Cauley-Stein","8.279999796549479","15","3500","SAC@NY","SAC","NY","","","",""
"17182-23824","PG","Archie","","Goodwin","6.166666666666667","3","3500","NO@OKC","NO","OKC","","","",""
"17182-40209","C","Joffrey","","Lauvergne","12.25","18","3500","NO@OKC","OKC","NO","","","",""
"17182-23831","SF","Jerami","","Grant","12.663158215974507","19","3500","NO@OKC","OKC","NO","","","",""
"17182-16411","SG","C.J.","","Wilcox","2.012500047683716","8","3500","ORL@DET","ORL","DET","","","",""
"17182-9507","SG","Arron","","Afflalo","13.74210558439556","19","3500","SAC@NY","SAC","NY","","","",""
"17182-66091","PF","Cheick","","Diallo","1.600000023841858","2","3500","NO@OKC","NO","OKC","","","",""
"17182-37931","C","Aron","","Baynes","10.647619338262649","21","3500","ORL@DET","DET","ORL","","","",""
"17182-9529","SG","Anthony","","Morrow","7.871428353445871","14","3500","NO@OKC","OKC","NO","","","",""
"17182-12348","SF","Wesley","","Johnson","8.793332926432292","15","3500","IND@LAC","LAC","IND","","","",""
"17182-66109","PF","Skal","","Labissiere","11.600000381469727","1","3500","SAC@NY","SAC","NY","","","",""
"17182-16191","SF","Josh","","Huestis","5.8","5","3500","NO@OKC","OKC","NO","","","",""
"17182-11074","PG","Garrett","","Temple","13.047368099814967","19","3500","SAC@NY","SAC","NY","","","",""
"17182-66117","C","Diamond","","Stone","3.5333334604899087","3","3500","IND@LAC","LAC","IND","","","",""
"17182-16202","C","Rakeem","","Christmas","3.366666793823242","3","3500","IND@LAC","IND","LAC","","","",""
"17182-15947","SG","Reggie","","Bullock","7.125","4","3500","ORL@DET","DET","ORL","O","Lower leg","",""
"17182-9804","C","Alexis","","Ajinca","8.299999660915798","9","3500","NO@OKC","NO","OKC","","","",""
"17182-17230","SG","Langston","","Galloway","15.6","20","3500","NO@OKC","NO","OKC","","","",""
"17182-55376","SF","Damjan","","Rudez","3.3636363636363638","11","3500","ORL@DET","ORL","DET","","","",""
"17182-63826","C","Boban","","Marjanovic","5.266666836208767","9","3500","ORL@DET","DET","ORL","","","",""
"17182-9567","SG","Sasha","","Vujacic","4.700000127156575","12","3500","SAC@NY","NY","SAC","","","",""
"17182-23654","PF","Brice","","Johnson","0","0","3500","IND@LAC","LAC","IND","O","Back","",""
"17182-23148","PG","Semaj","","Christon","7.510526155170641","19","3500","NO@OKC","OKC","NO","","","",""
"17182-15727","SG","Ben","","McLemore","9","15","3500","SAC@NY","SAC","NY","","","",""
"17182-23665","SG","Buddy","","Hield","11.080000305175782","20","3500","NO@OKC","NO","OKC","","","",""
"17182-23156","SF","Georges","","Niang","2.4692306518554688","13","3500","IND@LAC","IND","LAC","","","",""
"17182-18828","SG","Joe","","Young","4.657142639160156","14","3500","IND@LAC","IND","LAC","","","",""
"17182-63123","SG","Mario","","Hezonja","6.976922842172476","13","3500","ORL@DET","ORL","DET","","","",""
"17182-66455","PF","Henry","","Ellenson","2.1399999618530274","5","3500","ORL@DET","DET","ORL","GTD","Ankle","",""
"17182-63127","C","Guillermo","","Hernangomez","11.787500381469727","16","3500","SAC@NY","NY","SAC","","","",""
"17182-66966","C","Stephen","","Zimmerman Jr.","4.150000095367432","2","3500","ORL@DET","ORL","DET","","","",""
"17182-66203","SG","Malachi","","Richardson","1.5","2","3500","SAC@NY","SAC","NY","","","",""
"17182-48799","PF","Maurice","","Ndour","4.779999923706055","10","3500","SAC@NY","NY","SAC","","","",""
"17182-21665","SG","Alan","","Anderson","4.449999809265137","2","3500","IND@LAC","LAC","IND","","","",""
"17182-70821","C","Georgios","","Papagiannis","2.200000047683716","1","3500","SAC@NY","SAC","NY","","","",""
"17182-71345","SF","Mindaugas","","Kuzminskas","8.449999809265137","16","3500","SAC@NY","NY","SAC","","","",""
"17182-9649","PF","Nick","","Collison","1.7799999237060546","5","3500","NO@OKC","OKC","NO","","","",""
"17182-9659","PF","Brandon","","Bass","6.158333460489909","12","3500","IND@LAC","LAC","IND","","","",""
"17182-9920","PF","Anthony","","Tolliver","5.837500095367432","8","3500","SAC@NY","SAC","NY","","","",""
"17182-14532","SF","Kyle","","Singler","4.15","10","3500","NO@OKC","OKC","NO","","","",""
"17182-22727","PG","Ron","","Baker","5.849999904632568","4","3500","SAC@NY","NY","SAC","","","",""
"17182-9940","SF","Dante","","Cunningham","13.120000203450521","15","3500","NO@OKC","NO","OKC","O","Knee","",""
"17182-14549","PF","Lavoy","","Allen","8.215789794921875","19","3500","IND@LAC","IND","LAC","","","",""
